tip_proprietate,nr_camere,suprafata,suprafata_teren,an_constructie,zona,pret
CAS,4,115,320,2020,galata,155000 
CAS,4,116,500,2020,valea-adanca,114000 
CAS,4,110,440,2020,miroslava,105000 
CAS,5,217,2000,2009,popas-pacurari,385000 
CAS,2,60,250,1959,podul-de-fier,95000 
CAS,4,103,480,2020,aroneanu,82000 
CAS,4,118,240,2020,galata,135000 
CAS,4,110,520,2014,miroslava,133000 
CAS,4,160,500,2021,bucium,159000 
CAS,3,100,500,2016,holboca,65000 
CAS,7,220,870,2006,valea-lupului,179900 
CAS,4,118.4,320,2020,galata,160000 
CAS,4,115,320,2020,galata,155000 
CAS,4,115,320,2020,galata,155000 
CAS,4,118,240,2020,galata,135000 
CAS,4,115,320,2020,galata,155000 
CAS,4,115,320,2020,galata,155000 
CAS,4,120,300,2018,horpaz,75000 
CAS,7,320,2043,2015,bucium,275000 
CAS,3,85,100,2020,popas-pacurari,79900 
CAS,4,100,250,2021,bucium,99000 
CAS,9,365,750,2004,centru-civic,1500000 
CAS,5,155,500,2021,bucium,155000 
CAS,3,140,455,1970,sararie,180000 
CAS,4,100,250,2021,bucium,99000 
CAS,3,76,400,2021,breazu,78500 
CAS,4,100,250,2020,bucium,105000 
CAS,5,120,600,2013,valea-lupului,179500 
CAS,6,160,504,2021,valea-adanca,175000 
CAS,4,119,420,2020,breazu,130000 
CAS,3,92,600,2018,valea-adanca,150000 
CAS,4,108,290,2020,miroslava,75000 
CAS,5,130,150,2020,valea-adanca,88000 
CAS,6,200,600,2021,valea-adanca,175000 
CAS,4,118,470,2021,cug,110000 
CAS,6,242,2430,2018,popas-pacurari,350000 
CAS,7,415,1260,2015,galata,580000 
CAS,4,100,205,2020,bucium,85000 
CAS,5,120,460,2021,bucium,125000 
CAS,4,105,370,2020,lunca-cetatuii,89500 
CAS,4,160,120,2021,bucium,99900 
CAS,5,105,450,2020,bucium,117000 
CAS,4,103,250,2020,miroslava,83500 
CAS,4,120,153,2021,pacurari,120000 
CAS,5,290,300,2017,lunca-cetatuii,132000 
CAS,3,90,260,2021,pacurari,70000 
CAS,7,193,300,2018,lunca-cetatuii,71900 
CAS,14,510,3200,1890,tatarasi,800000 
CAS,8,290,704,2021,bucium,255000 
CAS,5,111,415,2021,miroslava,122000 
CAS,4,130,410,2020,tatarasi,195000 
CAS,7,420,1300,2008,bucium,149000 
CAS,4,107,230,2020,valea-adanca,79900 
CAS,4,115,250,2018,popas-pacurari,169000 
CAS,4,107,350,2020,popas-pacurari,97000 
CAS,6,230,522,2006,popas-pacurari,159000 
CAS,4,116,280,2021,popas-pacurari,96000 
CAS,5,185,500,2020,bucium,185000 
CAS,3,65,1000,1970,miroslava,60000 
CAS,4,114,380,2020,lunca-cetatuii,89500 
CAS,4,110,426,2020,miroslava,98000 
CAS,4,110,460,2021,valea-adanca,122000 
CAS,4,215,250,2016,galata,180000 
CAS,4,107,200,2020,popas-pacurari,77000 
CAS,3,90,250,2015,valea-adanca,80000 
CAS,5,350,900,2008,cug,380000 
CAS,3,85,330,2020,breazu,75000 
CAS,4,100,250,2019,rediu,93000 
CAS,5,120,360,2019,lunca-cetatuii,90000 
CAS,3,102,400,2019,miroslava,95000 
CAS,4,115,220,2021,galata,155000 
CAS,5,149.88,200,2021,bucium,105000 
CAS,3,115,1200,2020,holboca,92500 
CAS,4,90,100,2020,cug,94500 
CAS,3,114,540,2019,miroslava,95000 
CAS,5,120,500,2021,valea-adanca,110000 
CAS,4,147,490,2012,cug,158000 
CAS,4,200,750,2000,cug,235000 
CAS,6,40,1000,2006,holboca,551786 
CAS,4,107,330,2021,visan,100000 
CAS,4,109,250,2021,miroslava,93500 
CAS,4,126,475,2021,valea-adanca,97000 
CAS,4,116,399,2021,pacurari,109900 
CAS,4,119,220,2020,galata,135000 
CAS,4,119,240,2021,galata,135000 
CAS,4,118,400,2021,pacurari,110000 
CAS,4,118,350,2020,galata,155000 
CAS,6,260,605,2009,popas-pacurari,225000 
CAS,4,110,250,2020,miroslava,85000 
CAS,3,90,400,2021,miroslava,69500 
CAS,4,96,420,2020,valea-adanca,100000 
CAS,4,110,280,2020,popas-pacurari,78000 
CAS,3,82,420,2020,miroslava,69900 
CAS,4,115,370,2021,popas-pacurari,110000 
CAS,5,112,149,2016,bucium,195000 
CAS,5,180,504,2020,popas-pacurari,202000 
CAS,3,75,400,2020,miroslava,70000 
CAS,5,120,500,2020,copou,129900 
CAS,4,111,400,2021,rediu,105000 
CAS,3,80,375,2021,central,77000 
CAS,3,80,375,2019,central,68500 
CAS,4,95,500,2021,valea-adanca,85000 
CAS,3,105,250,2021,valea-adanca,65000 
